266329_at AT2G01590
247887_at AT5G57880
253872_at AT4G27410
256059_at AT1G06990
249040_at AT5G44320
258251_at AT3G15810
265415_at AT2G20890
250766_at AT5G05550
246973_at AT5G24970
261130_at AT1G04870
264356_at AT1G03190
262309_at AT1G70820
261034_s_at AT1G59077;AT1G17450;AT1G58766;AT1G59453
266042_s_at ATMG00290;AT2G07734
252039_at AT3G52155
254231_at AT4G23810
257457_at AT2G05430
263442_at AT2G28605
266668_at AT2G29760
247187_at AT5G65490
253172_at AT4G35060
256398_at AT3G06100
258590_at AT3G04280
260336_at AT1G73990
248217_at AT5G53560
259769_at AT1G29400
250066_at AT5G17930
246273_at AT4G36700
249499_at AT5G39250
255484_at AT4G02540
262648_at AT1G14030
247303_at AT5G63890
256514_at AT1G66130
264840_at AT1G03440
267027_at AT2G38330
252378_at AT3G47570
261589_at AT1G01690
257796_at AT3G15930
263781_at AT2G46360
253408_at AT4G32950
258826_at AT3G07160
264811_at AT1G08640
245330_at AT4G14930
260675_at AT1G19430
248556_at AT5G50350
256882_at AT3G26420;AT3G26430
246509_at AT5G16715
259069_at AT3G11710
261705_at AT1G32670
248701_at AT5G48410
257912_at AT3G25500
262987_at AT1G23240
247642_at AT5G60590
254806_at AT4G12430
267366_at AT2G44310
250521_at AT5G08490
253747_at AT4G29050
257096_at AT3G30820
263081_at AT2G27220
249954_at AT5G18920
258126_at AT3G24490
264111_at AT2G13690
260418_s_at AT1G69750;AT1G66590
246848_at AT5G26840
252833_at AT4G40090
265393_at AT2G20830
261005_at AT1G26420
257212_at AT3G15090
245789_at AT1G32090
266423_at AT2G41340
251774_at AT3G55840
247981_at AT5G56640
262287_at AT1G68660
256153_at AT1G55060
254106_at AT4G24990
259524_at AT1G12550
250860_at AT5G04770
253047_at AT4G37295
245905_at AT5G11090
249254_at AT5G42110
258465_at AT3G17220
265629_at AT2G27230
248195_at AT5G54110
246148_at AT5G19960
252133_at AT3G50900
255359_at AT4G03950
261344_at AT1G79710
257551_at AT3G13270
266762_at AT2G47120
245089_at AT2G45290
251074_at AT5G01800
247281_at AT5G64350
256492_at AT1G31490
261358_s_at AT3G29450;AT1G41920
254445_at AT4G20930
260430_at AT1G68200
248311_at AT5G52570
263656_at AT1G04240
259863_at AT1G72630
250160_at AT5G15210
253386_at AT4G33030
249593_at AT5G37900
245205_at AT5G12280
256757_at AT3G25620
262742_at AT1G28550
265968_at AT2G37410
246487_at AT5G16030
267121_at AT2G23540
252472_at AT3G46830
255698_at AT4G00150
261683_at AT1G47300
247517_at AT5G61780
253502_at AT4G31940
266062_at AT2G18730
258920_at AT3G10520
257292_s_at AT3G15600;AT2G07770
248799_at AT5G47230
254784_at AT4G12720
246603_at AT1G31690
249829_at AT5G23290
259163_at AT3G01490
255814_at AT1G19900
245544_at AT4G15270
260889_at AT1G29120
252708_at AT3G43820
262042_at AT1G80140
265268_at AT2G42960
248915_at AT5G45690
261919_at AT1G65980
254900_at AT4G11510
267460_at AT2G33810
251649_at AT3G57330
247856_at AT5G58300
253841_at AT4G27830
257190_at AT3G13120
256028_at AT1G34140
258220_at AT3G17830
254084_at AT4G24940
250735_at AT5G06280
246942_at AT5G25430
263295_at AT2G14210
255405_s_at AT4G03460;AT4G03440
249129_at AT5G43080
255114_at AT4G08830
264325_at AT1G04150
245883_at AT5G09500
260189_at AT1G67550
262381_at AT1G72900
252008_at AT3G52610
261219_at AT1G19980
254200_at AT4G24110
257426_at AT1G54850
263411_at AT2G28710
266637_at AT2G35600
251988_at AT3G53300
247156_at AT5G65760
253141_at AT4G35440
256367_at AT1G66810
260305_at AT1G70490
259738_at AT1G64355
265723_at AT2G32140
250035_at AT5G18230
246242_at AT4G36600
249468_at AT5G39650
255453_at AT4G02900
258679_at AT3G08590
264664_at AT1G09660
262617_at AT1G06590
245183_at AT5G12440
252347_at AT3G48130
261558_at AT1G01770
257765_at AT3G23020
266976_at AT2G39410
264929_at AT1G60730
251288_at AT3G61620
247495_at AT5G61760
253480_at AT4G31840
254659_at AT4G18240
260644_at AT1G53290
256851_at AT3G27930
259038_at AT3G09210
265023_at AT1G24440
250374_at AT5G11530
