Var X sample ID,Var Y sample ID,Pearson's correlation
GTEX-XUZC-0926-SM-4BOQF,GTEX-13S7M-1726-SM-5RQK3,0.8623
GTEX-PWN1-2026-SM-48TD9,GTEX-RU72-2626-SM-4TT75,0.8623
GTEX-Y114-1826-SM-4TT87,GTEX-QCQG-1326-SM-48U24,0.8624
GTEX-P4PP-2026-SM-3P61N,GTEX-12WSK-2026-SM-5CVNB,0.8624
GTEX-N7MT-0726-SM-3TW8S,GTEX-XYKS-1626-SM-4BRUQ,0.8624
GTEX-132AR-1526-SM-5KM1L,GTEX-PWOO-1526-SM-48TCK,0.8624
GTEX-13W3W-1426-SM-5LU56,GTEX-Q734-1626-SM-48U1B,0.8626
GTEX-N7MT-0726-SM-3TW8S,GTEX-ZYWO-2126-SM-5GZXF,0.8626
GTEX-131XG-2026-SM-5GCN5,GTEX-1313W-2826-SM-5P9G1,0.8627
GTEX-ZYVF-0526-SM-5E43E,GTEX-PWOO-1526-SM-48TCK,0.8628
GTEX-131XG-2026-SM-5GCN5,GTEX-13S7M-1726-SM-5RQK3,0.8629
GTEX-QCQG-1326-SM-48U24,GTEX-11P81-1626-SM-5BC52,0.8629
GTEX-PWN1-2026-SM-48TD9,GTEX-1313W-2826-SM-5P9G1,0.863
GTEX-WWYW-2826-SM-4MVOQ,GTEX-ZV6S-1526-SM-5NQ7O,0.8631
GTEX-N7MT-0726-SM-3TW8S,GTEX-U3ZN-0726-SM-4DXT5,0.8632
GTEX-ZP4G-0726-SM-4WWF2,GTEX-TSE9-2626-SM-4DXV2,0.8633
GTEX-WWYW-2826-SM-4MVOQ,GTEX-XUZC-0926-SM-4BOQF,0.8633
GTEX-ZAK1-2526-SM-5S2N7,GTEX-131XG-2026-SM-5GCN5,0.8634
GTEX-RWS6-1326-SM-47JXB,GTEX-13S7M-1726-SM-5RQK3,0.8634
GTEX-WWYW-2826-SM-4MVOQ,GTEX-11ZTT-1726-SM-5EQL4,0.8636
GTEX-XUZC-0926-SM-4BOQF,GTEX-1313W-2826-SM-5P9G1,0.8636
GTEX-132AR-1526-SM-5KM1L,GTEX-145ME-1326-SM-5O98Q,0.8638
GTEX-WWYW-2826-SM-4MVOQ,GTEX-U3ZN-0726-SM-4DXT5,0.8638
GTEX-13S7M-1726-SM-5RQK3,GTEX-ZYWO-2126-SM-5GZXF,0.8638
GTEX-11ZTT-1726-SM-5EQL4,GTEX-P4PP-2026-SM-3P61N,0.8639
GTEX-131YS-2326-SM-5IJFJ,GTEX-XUZC-0926-SM-4BOQF,0.8639
GTEX-13D11-1226-SM-5IFGA,GTEX-WI4N-2426-SM-4OOSC,0.864
GTEX-R55G-1626-SM-48FF4,GTEX-1313W-2826-SM-5P9G1,0.864
GTEX-WWYW-2826-SM-4MVOQ,GTEX-PWOO-1526-SM-48TCK,0.8641
GTEX-13D11-1226-SM-5IFGA,GTEX-13W3W-1426-SM-5LU56,0.8642
GTEX-ZAK1-2526-SM-5S2N7,GTEX-11EM3-1926-SM-5987U,0.8645
GTEX-ZTPG-2026-SM-5O999,GTEX-ZAK1-2526-SM-5S2N7,0.8645
GTEX-P4QT-2026-SM-3NMCJ,GTEX-RWS6-1326-SM-47JXB,0.8646
GTEX-T5JW-1526-SM-4DM5E,GTEX-ZAK1-2526-SM-5S2N7,0.8646
GTEX-POMQ-1226-SM-3P61F,GTEX-13S7M-1726-SM-5RQK3,0.8647
GTEX-PWN1-2026-SM-48TD9,GTEX-TSE9-2626-SM-4DXV2,0.8647
GTEX-P4QT-2026-SM-3NMCJ,GTEX-P4PP-2026-SM-3P61N,0.8647
GTEX-13W3W-1426-SM-5LU56,GTEX-11P81-1626-SM-5BC52,0.8647
GTEX-11ZTT-1726-SM-5EQL4,GTEX-WI4N-2426-SM-4OOSC,0.8647
GTEX-ZP4G-0726-SM-4WWF2,GTEX-RU72-2626-SM-4TT75,0.8648
GTEX-RTLS-2426-SM-46MUO,GTEX-S341-1026-SM-4AD71,0.8648
GTEX-U3ZN-0726-SM-4DXT5,GTEX-WI4N-2426-SM-4OOSC,0.8648
GTEX-ZYVF-0526-SM-5E43E,GTEX-13W3W-1426-SM-5LU56,0.8649
GTEX-RTLS-2426-SM-46MUO,GTEX-WI4N-2426-SM-4OOSC,0.8651
GTEX-11EMC-1826-SM-5A5JT,GTEX-PWOO-1526-SM-48TCK,0.8651
GTEX-N7MT-0726-SM-3TW8S,GTEX-WI4N-2426-SM-4OOSC,0.8652
GTEX-RWS6-1326-SM-47JXB,GTEX-1117F-2426-SM-5EGGH,0.8652
GTEX-RWS6-1326-SM-47JXB,GTEX-11ZTS-2326-SM-5EQMY,0.8653
GTEX-TSE9-2626-SM-4DXV2,GTEX-R55G-1626-SM-48FF4,0.8654
GTEX-ZV6S-1526-SM-5NQ7O,GTEX-13S7M-1726-SM-5RQK3,0.8654
GTEX-P4PP-2026-SM-3P61N,GTEX-YJ8O-1126-SM-5P9IS,0.8655
GTEX-13OVJ-2326-SM-5IJGA,GTEX-13W3W-1426-SM-5LU56,0.8655
GTEX-13S7M-1726-SM-5RQK3,GTEX-WI4N-2426-SM-4OOSC,0.8655
